"station_name","lat","lon"
"YAOUNDE-VILLE/ RADIOSONDAGE",3.8333,11.5166
"YOKADOUMA",3.85,15.0833333333
"YOKO",5.55,12.3666666667
"Zina",11.26417,14.97056
"Zoétélé",3.25,11.88333
"ALINDAO",5.05,21.2
"BAMBARI",5.85,20.65
"BANGASSOU",4.7333333333,22.8333333333
"BANGUI",4.4,18.5166666667
"BERBERATI",4.25,15.8
"BIRAO",10.2833333333,22.7833333333
"BOSSANGOA",6.4833333333,17.4333333333
"BOSSEMBELE",5.2666666667,17.6333333333
"BOUAR",5.9666666667,15.6333333333
"BRIA",6.5333333333,21.9833333333
"MOBAYE",4.3166666667,21.1833333333
"N'DELE",8.4,20.65
"OBO",5.4,26.5
"YALINGA",6.5,23.2666666667
"ABECHE",13.85,20.85
"AM-TIMAN",11.0333333333,20.2833333333
"ATI",13.2166666667,18.3166666667
"Abdi",12.4833,21.1815
"Aboudéia",11.45,19.27
"Abéché",13.84,20.85
"Adré",13.283,22.1241
"Amdam",12.4552,20.2745
"Amdjarass",15.9667,22.7667
"Amtiman-AWS",12.222,20.167
"Ati",13.2236,18.3258
"BILTINE",14.312,20.552
"BOKORO",12.3833333333,17.05
"BOL-BERIM",13.4333333333,14.7333333333
"BONGOR",10.2887,15.3748
"BOUSSO",10.4833333333,16.7166666667
"Ba-illi",10.5166,16.443
"Bao",9.0363,16.0925
"Baro",12.1993,18.9728
